show,contestant_name,season,season_week,occupation,age,height,winner,elim_week,elim_type,first_impression,date_size,rose_type,,,
Bachelorette,KENNY L,13,13-1,,,,0,6,ED,0,0,C,,,
Bachelorette,KENNY L,13,13-2,,,,0,6,ED,0,8,C,,,
Bachelorette,KENNY L,13,13-3,,,,0,6,ED,0,8,C,,,
Bachelorette,KENNY L,13,13-4,,,,0,6,ED,0,13,C,,,
Bachelorette,KENNY L,13,13-5,,,,0,6,ED,0,2,G,,,
Bachelorette,KENNY L,13,13-6,,,,0,6,ED,0,7,ED,,,
Bachelorette,LEE G,13,13-1,,,,0,5,ED,0,0,C,,,
Bachelorette,LEE G,13,13-2,,,,0,5,ED,0,10,C,,,
Bachelorette,LEE G,13,13-3,,,,0,5,ED,0,8,C,,,
Bachelorette,LEE G,13,13-4,,,,0,5,ED,0,13,C,,,
Bachelorette,LEE G,13,13-5,,,,0,5,ED,0,2,ED,,,
Bachelorette,LUCAS Y,13,13-1,,,,0,2,E,0,0,C,,,
Bachelorette,LUCAS Y,13,13-2,,,,0,2,E,0,0,E,,,
Bachelorette,MATT M,13,13-1,,,,0,7,,0,0,C,,,
Bachelorette,MATT M,13,13-2,,,,0,7,,0,10,C,,,
Bachelorette,MATT M,13,13-3,,,,0,7,,0,0,C,,,
Bachelorette,MATT M,13,13-4,,,,0,7,,0,13,C,,,
Bachelorette,MATT M,13,13-5,,,,0,7,,0,9,C,,,
Bachelorette,MATT M,13,13-6,,,,0,7,,0,7,C,,,
Bachelorette,MATT M,13,13-7,,,,0,7,,0,3,ED,,,
Bachelorette,WILL G,13,13-1,,,,0,6,ED,0,0,C,,,
Bachelorette,WILL G,13,13-2,,,,0,6,ED,0,10,C,,,
Bachelorette,WILL G,13,13-3,,,,0,6,ED,0,6,C,,,
Bachelorette,WILL G,13,13-4,,,,0,6,ED,0,13,C,,,
Bachelorette,WILL G,13,13-5,,,,0,6,ED,0,8,G,,,
Bachelorette,WILL G,13,13-6,,,,0,6,ED,0,1,ED,,,
Bachelorette,JORDAN R,12,1-Dec,,,,1,N/A,W,1,0,FI,,,
Bachelorette,JORDAN R,12,2-Dec,,,,1,N/A,W,1,6,C,,,
Bachelorette,JORDAN R,12,3-Dec,,,,1,N/A,W,1,12,C,,,
Bachelorette,JORDAN R,12,4-Dec,,,,1,N/A,W,1,11,G,,,
Bachelorette,JORDAN R,12,5-Dec,,,,1,N/A,W,1,1,O,,,
Bachelorette,JORDAN R,12,6-Dec,,,,1,N/A,W,1,5,C,,,
Bachelorette,JORDAN R,12,7-Dec,,,,1,N/A,W,1,1,C,,,
Bachelorette,JORDAN R,12,8-Dec,,,,1,N/A,W,1,1,C,,,
Bachelorette,JORDAN R,12,9-Dec,,,,1,N/A,W,1,1,C,,,
Bachelorette,JORDAN R,12,10-Dec,,,,1,N/A,W,1,1,W,,,
Bachelorette,ROBBY H,12,1-Dec,,,,0,10,E,0,0,C,,,
Bachelorette,ROBBY H,12,2-Dec,,,,0,10,E,0,10,C,,,
Bachelorette,ROBBY H,12,3-Dec,,,,0,10,E,0,0,C,,,
Bachelorette,ROBBY H,12,4-Dec,,,,0,10,E,0,11,C,,,
Bachelorette,ROBBY H,12,5-Dec,,,,0,10,E,0,9,G,,,
Bachelorette,ROBBY H,12,6-Dec,,,,0,10,E,0,5,C,,,
Bachelorette,ROBBY H,12,7-Dec,,,,0,10,E,0,3,G,,,
Bachelorette,ROBBY H,12,8-Dec,,,,0,10,E,0,1,O,,,
Bachelorette,ROBBY H,12,9-Dec,,,,0,10,E,0,1,O,,,
Bachelorette,ROBBY H,12,10-Dec,,,,0,10,E,0,1,E,,,
Bachelorette,CHASE M,12,1-Dec,,,,0,9,ED,0,0,C,,,
