show,season,name,winner,elim_week,fir
Bachelorette,3,KEITH ,0,3,1
Bachelorette,3,A.W. ,0,2,0
Bachelorette,3,JASON I,0,2,0
Bachelorette,3,MARK ,0,2,0
Bachelorette,3,MATT M,0,2,0
Bachelorette,3,MICHAEL F,0,2,0
Bachelorette,3,RYAN SM,0,2,0
Bachelorette,3,STU L,0,2,0
Bachelorette,3,ANDREW ,0,1,0
Bachelorette,3,ANDY L,0,1,0
Bachelorette,3,CHRIS M,0,1,0
Bachelorette,3,CHRIS C,0,1,0
Bachelorette,3,COLLIN E,0,1,0
Bachelorette,3,DAVID V,0,1,0
Bachelorette,3,ERIC H,0,1,0
Bachelorette,3,ERIC T,0,1,0
Bachelorette,3,KEVIN ,0,1,0
Bachelorette,3,MATT L,0,1,0
Bachelorette,2,IAN M,1,N/A,0
Bachelorette,2,MATTHEW H,0,7,0
Bachelorette,2,CHAD X,0,6,0
Bachelorette,2,LANNY X,0,5,0
Bachelorette,2,BRAD X,0,4,0
Bachelorette,2,RYAN M,0,4,0
Bachelorette,2,SEAN X,0,4,0
Bachelorette,2,RICK X,0,3,0
Bachelorette,2,RYAN R,0,3,0
Bachelorette,2,TODD X,0,3,0
Bachelorette,2,DAMON X,0,2,0
Bachelorette,2,ELIOT X,0,2,0
Bachelorette,2,HAROLD H,0,2,0
Bachelorette,2,MARCUS X,0,2,0
Bachelorette,2,ROBERT X,0,2,0
Bachelorette,2,AARON X,0,1,0
Bachelorette,2,ANDY C,0,1,0
Bachelorette,2,ANSELM C,0,1,0
Bachelorette,2,BRIAN X,0,1,0
Bachelorette,2,CHRIS X,0,1,0
Bachelorette,2,CORY H,0,1,0
Bachelorette,2,JEFF O,0,1,0
Bachelorette,2,JUSTIN X,0,1,0
Bachelorette,2,KEITH X,0,1,0
Bachelorette,2,TREVER X,0,1,0
Bachelorette,1,RYAN S,1,N/A,0
Bachelorette,1,CHARLIE M,0,6,0
Bachelorette,1,RUSS X,0,5,0
Bachelorette,1,GREG T,0,4,0
Bachelorette,1,BOB G,0,3,0
Bachelorette,1,JAMIE B,0,3,0
Bachelorette,1,MIKE X,0,3,0
Bachelorette,1,ROB X,0,3,0
Bachelorette,1,BRIAN C,0,2,0
Bachelorette,1,BRIAN S,0,2,0
Bachelorette,1,BROOK X,0,2,0
Bachelorette,1,JACK X,0,2,0
Bachelorette,1,JEFF X,0,2,0
Bachelorette,1,JOSH X,0,2,0
Bachelorette,1,BRIAN H,0,2,0
Bachelorette,1,BILLY X,0,1,0
Bachelorette,1,BRIAN K,0,1,0
Bachelorette,1,CHRIS X,0,1,0
Bachelorette,1,DUANE X,0,1,0
Bachelorette,1,ERIC X,0,1,0
Bachelorette,1,GREGG H,0,1,0
Bachelorette,1,MATT X,0,1,0
Bachelorette,1,PAUL X,0,1,0
Bachelorette,1,PETER X,0,1,0
Bachelorette,1,WAYNE X,0,1,0
Bachelor,21,VANESSA G,1,N/A,1
Bachelor,21,RAVEN G,0,10,0
Bachelor,21,RACHEL L,0,9,0
Bachelor,21,CORRINE O,0,8,0
Bachelor,21,KRISTINA S,0,7,0
Bachelor,21,DANIELLE M,0,7,0
Bachelor,21,DANIELLE L,0,6,0
Bachelor,21,WHITNEY F,0,6,0
Bachelor,21,JASMINE G,0,6,0
Bachelor,21,JAIMI K,0,5,0
Bachelor,21,JOSEPHINE T,0,5,0
Bachelor,21,ALEXIS W,0,5,0
Bachelor,21,TAYLOR N,0,5,0
Bachelor,21,ASTRID L,0,4,0
Bachelor,21,SARAH V,0,4,0
Bachelor,21,BRITTANY F,0,3,0
Bachelor,21,CHRISTEN W,0,3,0
Bachelor,21,DOMINIQUE A,0,3,0
Bachelor,21,LACEY M,0,2,0
Bachelor,21,HAILEY M,0,2,0
Bachelor,21,ELIZABETH W,0,2,0
Bachelor,21,LIZ S,0,2,0
Bachelor,21,ANGELA A,0,1,0
Bachelor,21,JASMINE B,0,1,0
Bachelor,21,OLIVIA B,0,1,0
Bachelor,21,IDA D,0,1,0
Bachelor,21,BRIANA G,0,1,0
Bachelor,21,LAUREN H,0,1,0
Bachelor,21,SUSANNAH M,0,1,0
Bachelor,21,MICHELLE R,0,1,0
Bachelor,20,LAUREN B,1,N/A,0
Bachelor,20,JOJO F,0,10,0
Bachelor,20,CAILA Q,0,9,0
Bachelor,20,AMANDA S,0,8,0
Bachelor,20,BECCA T,0,8,0
Bachelor,20,EMILY F,0,7,0
Bachelor,20,LAUREN H,0,1,0
Bachelor,20,OLIVIA C,0,6,1
Bachelor,20,LEAH B,0,6,0
Bachelor,20,JENNIFER S,0,5,0
Bachelor,20,JUBILEE S,0,5,0
Bachelor,20,AMBER J,0,4,0
Bachelor,20,RACHEL T,0,4,0
Bachelor,20,HAYLEY F,0,4,0
Bachelor,20,JAMI L,0,3,0
Bachelor,20,SHUSHANNA M,0,3,0
Bachelor,20,LACE M,0,3,0
Bachelor,20,JACKIE D,0,2,0
Bachelor,20,MANDI K,0,2,0
Bachelor,20,SAMANTHA P,0,2,0
Bachelor,20,LB B,0,2,0
Bachelor,20,LAURA E,0,1,0
Bachelor,20,IZZY G,0,1,0
Bachelor,20,MAEGAN M,0,1,0
Bachelor,20,JESSICA M,0,1,0
Bachelor,20,BREANNE R,0,1,0
Bachelor,20,LAUREN R,0,1,0
Bachelor,20,TIARA S,0,1,0
Bachelor,19,WHITNEY B,1,N/A,0
Bachelor,19,BECCA T,0,8,0
Bachelor,19,KAITLYN B,0,9,0
Bachelor,19,JADE R,0,8,0
Bachelor,19,CARLY W,0,7,0
Bachelor,19,BRITT N,0,7,1
Bachelor,19,MEGAN B,0,6,0
Bachelor,19,KELSEY P,0,6,0
Bachelor,19,ASHLEY I,0,6,0
Bachelor,19,MACKENZIE D,0,5,0
Bachelor,19,SAMANTHA S,0,5,0
Bachelor,19,ASHLEY S,0,4,0
Bachelor,19,JUELIA K,0,4,0
Bachelor,19,NIKKI D,0,4,0
Bachelor,19,JILIAN A,0,4,0
Bachelor,19,AMBER J,0,4,0
Bachelor,19,TRACY D,0,3,0
Bachelor,19,TRINA S,0,3,0
Bachelor,19,ALISSA G,0,2,0
Bachelor,19,JORDAN B,0,2,0
Bachelor,19,KIMBERLY S,0,1,0
Bachelor,19,TANDRA S,0,2,0
Bachelor,19,TARA E,0,2,0
Bachelor,19,AMANDA G,0,1,0
Bachelor,19,BO S,0,1,0
Bachelor,19,BRITTANY F,0,3,0
Bachelor,19,KARA W,0,1,0
Bachelor,19,MICHELLE D,0,1,0
Bachelor,19,NICOLE M,0,1,0
Bachelor,19,REEGAN C,0,1,0
Bachelor,18,NIKKI F,1,N/A,0
Bachelor,18,CLARE C,0,10,0
Bachelor,18,ANDI D,0,9,0
Bachelor,18,RENEE O,0,8,0
Bachelor,18,CHELSIE W,0,7,0
Bachelor,18,SHARLEEN J,0,7,1
Bachelor,18,KAT H,0,6,0
Bachelor,18,CASSANDRA F,0,6,0
Bachelor,18,ALLI R,0,5,0
Bachelor,18,DANIELLE R,0,5,0
Bachelor,18,KELLY T,0,5,0
Bachelor,18,ELISE M,0,4,0
Bachelor,18,LAUREN S,0,4,0
Bachelor,18,CHRISTY H,0,3,0
Bachelor,18,LUCY A,0,3,0
Bachelor,18,AMY L,0,2,0
Bachelor,18,CHANTEL F,0,2,0
Bachelor,18,VICTORIA L,0,2,0
Bachelor,18,ALEXIS M,0,1,0
Bachelor,18,AMY J,0,1,0
Bachelor,18,ASHLEY P,0,1,0
Bachelor,18,CHRISTINE L,0,1,0
Bachelor,18,KYLIE L,0,1,0
Bachelor,18,LACY F,0,1,0
Bachelor,18,LAUREN H,0,1,0
Bachelor,18,MAGGIE G,0,1,0
Bachelor,18,VALERIE E,0,1,0
Bachelor,17,CATHERINE G,1,N/A,1
Bachelor,17,LINDSAY Y,0,10,0
Bachelor,17,ASHLEE F,0,9,0
Bachelor,17,DESIREE H,0,8,0
Bachelor,17,LESLEY M,0,7,0
Bachelor,17,TIERRA L,0,7,0
Bachelor,17,DANIELLA M,0,6,0
Bachelor,17,SLEMA A,0,6,0
Bachelor,17,SARAH H,0,6,0
Bachelor,17,ROBYN H,0,5,0
Bachelor,17,JACKIE P,0,5,0
Bachelor,17,AMANDA M,0,4,0
Bachelor,17,LESLIE H,0,4,0
Bachelor,17,KRISTY K,0,3,0
Bachelor,17,TARYN D,0,3,0
Bachelor,17,KACIE B,0,3,0
Bachelor,17,BROOKE B,0,2,0
Bachelor,17,DIANA W,0,2,0
Bachelor,17,LATIE L,0,2,0
Bachelor,17,ASHLEY H,0,1,0
Bachelor,17,ASHLEY P,0,1,0
Bachelor,17,KELLY D,0,1,0
Bachelor,17,KERIANN M,0,1,0
Bachelor,17,LACEY L,0,1,0
Bachelor,17,LAUREN M,0,1,0
Bachelor,17,PAIGE V,0,1,0
Bachelor,16,COURTNEY R,1,N/A,0
Bachelor,16,LINDZI C,0,10,1
Bachelor,16,NICKI S,0,9,0
Bachelor,16,KACIE B,0,3,0
Bachelor,16,EMILY O,0,7,0
Bachelor,16,RACHEL T,0,4,0
Bachelor,16,JAMIE O,0,6,0
Bachelor,16,CASEY S,0,6,0
Bachelor,16,BLAKELEY J,0,6,0
Bachelor,16,JENNIFER F,0,5,0
Bachelor,16,ELYSE M,0,5,0
Bachelor,16,MONICA S,0,4,0
Bachelor,16,SAMANTHA L,0,4,0
Bachelor,16,ERIKA U,0,3,0
Bachelor,16,JACLYN S,0,3,0
Bachelor,16,BRITTNEY S,0,3,0
Bachelor,16,JENNA B,0,2,0
Bachelor,16,SHAWN R,0,2,0
Bachelor,16,AMBER B,0,1,0
Bachelor,16,AMBER T,0,1,0
Bachelor,16,ANNA S,0,1,0
Bachelor,16,DIANNA M,0,1,0
Bachelor,16,HOLLY J,0,1,0
Bachelor,16,LYNDSIE J,0,1,0
Bachelor,16,SHIRA A,0,1,0
Bachelor,15,EMILY M,1,N/A,0
Bachelor,15,CHANTAL O,0,10,0
Bachelor,15,ASHLEU H,0,9,0
Bachelor,15,SHAWNTEL N,0,8,0
Bachelor,15,MICHELLE M,0,7,0
Bachelor,15,BRITT B,0,7,0
Bachelor,15,JACKIE G,0,6,0
Bachelor,15,ALLI T,0,6,0
Bachelor,15,LISA M,0,5,0
Bachelor,15,MARISSA M,0,5,0
Bachelor,15,ASHLEY S,0,4,0
Bachelor,15,LINDSAY H,0,4,0
Bachelor,15,MEGHAN M,0,4,0
Bachelor,15,STACEY Q,0,4,0
Bachelor,15,KIMBERLY C,0,3,0
Bachelor,15,SARAH P,0,3,0
Bachelor,15,MADISON G,0,3,0
Bachelor,15,KELTIE C,0,2,0
Bachelor,15,MELISSA S,0,2,0
Bachelor,15,RAICHHEL G,0,2,0
Bachelor,15,BRITNEE X,0,1,0
Bachelor,15,CRISTY C,0,1,0
Bachelor,15,JESSICA A,0,1,0
Bachelor,15,KILL R,0,1,0
Bachelor,15,LACEY G,0,1,0
Bachelor,15,LAUREN M,0,1,0
Bachelor,15,LISA P,0,1,0
Bachelor,15,REBECCA X,0,1,0
Bachelor,15,RENEE H,0,1,0
Bachelor,15,SARAH L,0,1,0
Bachelor,14,VIENNA G,1,N/A,0
Bachelor,14,TENLEY M,0,8,1
Bachelor,14,GIA A,0,7,0
Bachelor,14,ALI F,0,6,0
Bachelor,14,CORRIE A,0,5,0
Bachelor,14,ASHLEIGH H,0,4,0
Bachelor,14,JESSIE S,0,4,0
Bachelor,14,KATHRYN S,0,4,0
Bachelor,14,ELLA N,0,4,0
Bachelor,14,ELIZABETH KI,0,3,0
Bachelor,14,VALISHIA S,0,3,0
Bachelor,14,MICHELLE K ,0,3,0
Bachelor,14,ASHLEY E,0,2,0
Bachelor,14,CRISTINA M,0,2,0
Bachelor,14,ROZLYN P,0,2,0
Bachelor,14,LEX M,0,1,0
Bachelor,14,CAITLYN M,0,1,0
Bachelor,14,CHANNY C,0,1,0
Bachelor,14,ELIZABETH KR,0,1,0
Bachelor,14,EMILY H,0,1,0
Bachelor,14,KIMBERLY S,0,1,0
Bachelor,14,KIRSTEN P,0,1,0
Bachelor,14,SHEILA L,0,1,0
Bachelor,14,STEPHANIE M,0,1,0
Bachelor,14,TIANA K,0,1,0
Bachelor,13,MELISSA R,1,N/A,0
Bachelor,13,MOLLY M,0,8,0
Bachelor,13,JILLIAN H,0,7,0
Bachelor,13,NAOMI C,0,6,0
Bachelor,13,STEPHANIE H,0,5,0
Bachelor,13,LAUREN W,0,4,0
Bachelor,13,MEGAN P,0,4,0
Bachelor,13,SHANNON B,0,4,0
Bachelor,13,NIKKI K,0,4,1
Bachelor,13,ERICA D,0,3,0
Bachelor,13,KARI F,0,3,0
Bachelor,13,NATALIE G,0,3,0
Bachelor,13,RAQUEL M,0,2,0
Bachelor,13,SHARON S,0,2,0
Bachelor,13,LISA G,0,2,0
Bachelor,13,ANN L,0,1,0
Bachelor,13,DOMINIQUE C,0,1,0
Bachelor,13,EMILY H,0,1,0
Bachelor,13,JACKIE H,0,1,0
Bachelor,13,JULIE D,0,1,0
Bachelor,13,NICOLE M,0,1,0
Bachelor,13,RENEE S,0,1,0
Bachelor,13,SHELBY G,0,1,0
Bachelor,13,STACIA M,0,1,0
Bachelor,13,TREASURE M,0,1,0
Bachelor,12,SHAYNE L,1,N/A,0
Bachelor,12,CHELSEA W,0,8,0
Bachelor,12,AMANDA R,0,7,1
Bachelor,12,NOELLE D,0,6,0
Bachelor,12,MARSHANA R,0,5,0
Bachelor,12,ROBIN C,0,4,0
Bachelor,12,ASHLEE W,0,4,0
Bachelor,12,KELLY D,0,1,0
Bachelor,12,HOLLY D,0,4,0
Bachelor,12,AMY R,0,3,0
Bachelor,12,ERIN S,0,3,0
Bachelor,12,KRISTINE H,0,3,0
Bachelor,12,CARRI P,0,2,0
Bachelor,12,ERIN H,0,2,0
Bachelor,12,MICHELLE P,0,2,0
Bachelor,12,ALYSSA G,0,1,0
Bachelor,12,AMANDA P,0,1,0
Bachelor,12,DENISE H,0,1,0
Bachelor,12,DEVON A,0,1,0
Bachelor,12,LESLEY G,0,1,0
Bachelor,12,MICHELE R,0,1,0
Bachelor,12,REBECCA L,0,1,0
Bachelor,12,STACEY E,0,1,0
Bachelor,12,TAMARA S,0,1,0
Bachelor,12,TIFFANY T,0,1,0
Bachelor,11,DEANNA P,0,N/A,0
Bachelor,11,JENNI C,0,8,1
Bachelor,11,BETTINA B,0,7,0
Bachelor,11,SHEENA S,0,6,0
Bachelor,11,HILARY R,0,5,0
Bachelor,11,KRISTY K,0,3,0
Bachelor,11,STEPHY K,0,4,0
Bachelor,11,JADE B,0,4,0
Bachelor,11,MCCARTEN D,0,4,0
Bachelor,11,LINDSEY H,0,3,0
Bachelor,11,SARAH N,0,3,0
Bachelor,11,SOLISA S,0,3,0
Bachelor,11,MICHELE L,0,2,0
Bachelor,11,MALLORY S,0,2,0
Bachelor,11,ERIN G,0,2,0
Bachelor,11,JESSICA K,0,1,0
Bachelor,11,JULI G,0,1,0
Bachelor,11,KIM O,0,1,0
Bachelor,11,LORI L,0,1,0
Bachelor,11,MELISSA B,0,1,0
Bachelor,11,MORGAN B,0,1,0
Bachelor,11,NATALIE V,0,1,0
Bachelor,11,REGINA D,0,1,0
Bachelor,11,TAUNI N,0,1,0
Bachelor,11,SUSAN S,0,1,0
Bachelor,10,TESSA H,1,N/A,0
Bachelor,10,BEVIN P,0,8,0
Bachelor,10,DANIELLE I,0,7,0
Bachelor,10,AMBER A,0,6,0
Bachelor,10,STEPHANIE W,0,5,0
Bachelor,10,TINA W,0,5,0
Bachelor,10,KATE B,0,4,0
Bachelor,10,NICOLE C,0,4,0
Bachelor,10,STEPHANIE T,0,4,1
Bachelor,10,AMANDA H,0,3,0
Bachelor,10,ERIN P,0,3,0
Bachelor,10,PEYTON W,0,3,0
Bachelor,10,ALEXIS Y,0,2,0
Bachelor,10,SUSAN A,0,2,0
Bachelor,10,TIFFANY W,0,2,0
Bachelor,10,BLAKENEY R,0,1,0
Bachelor,10,CANDICE D,0,1,0
Bachelor,10,CATHERINE W,0,1,0
Bachelor,10,DANIELLE V,0,1,0
Bachelor,10,JACKIE T,0,1,0
Bachelor,10,JEANETTE A,0,1,0
Bachelor,10,JESSICA D,0,1,0
